boilerSize,radiatorType,radiator,toilet,toileType,washbasin,washbasinType,bathhub,bathhubType,showerCabin,showerCabinType,Bidet,BidetType,waterHeater,waterHeaterType,sinkTypeQuality,sinkCategorie,cost,time
medium,FONDITAL_ARDENTE_C2,8,1,One-Piece,1,Wall-Mounted,1,Luxury,1,Luxury_Enclosure,0,Wall-Hung,1,Electric-30liters,poor,double,526448,41
medium,GLOBAL_ISEO_350,6,1,One-Piece,0,Countertop,0,Standard,1,Luxury_Enclosure,0,Bidet-Mixer-Tap,1,Electric-30liters,poor,double,870110,33
small,Samochauf_SAHD,5,0,Basic-Ceramic,2,Pedestal,2,Luxury,1,Luxury_Enclosure,1,Bidet-Ceramic,0,Electric-50liters,high,double,477139,40
small,COPA_Aluminium,10,0,One-Piece,0,Countertop,1,Luxury,0,Basic_Enclosure,0,Bidet-Mixer-Tap,1,Electric-50liters,poor,double,387893,31
big,Sira_Alice_Royal,7,2,Wall-Hung,1,Countertop,1,Standard,1,Basic_Enclosure,0,Bidet-Ceramic,2,Electric-50liters,poor,double,589350,43
medium,COPA_Aluminium,14,2,One-Piece,1,Pedestal,1,Standard,0,Basic_Enclosure,0,Wall-Hung,0,Electric-50liters,high,single,417928,43
medium,Primavera_H500,13,1,Basic-Ceramic,2,Countertop,2,Luxury,1,Basic_Enclosure,0,Bidet-Ceramic,2,GAS-6liters,poor,single,843449,47
big,Samochauf_SAHD,12,1,Wall-Hung,0,Wall-Mounted,2,Luxury,1,Basic_Enclosure,0,Bidet-Ceramic,0,Electric-50liters,poor,double,625503,45
small,GLOBAL_ISEO_350,1,1,Wall-Hung,3,Countertop,2,Luxury,1,Basic_Enclosure,1,Wall-Hung,0,GAS-6liters,high,double,533028,35
small,Primavera_H500,12,0,Basic-Ceramic,2,Countertop,1,Luxury,1,Luxury_Enclosure,2,Wall-Hung,1,Electric-30liters,poor,single,742187,61
big,GLOBAL_ISEO_350,4,0,One-Piece,3,Wall-Mounted,2,Luxury,1,Luxury_Enclosure,1,Bidet-Mixer-Tap,0,Electric-50liters,poor,single,790186,34
medium,GLOBAL_ISEO_350,4,0,One-Piece,1,Pedestal,2,Luxury,1,Basic_Enclosure,1,Wall-Hung,2,GAS-6liters,high,single,789610,32
big,Sira_Alice_Royal,0,0,Wall-Hung,1,Countertop,2,Luxury,0,Basic_Enclosure,2,Bidet-Mixer-Tap,1,Electric-30liters,poor,double,339492,22
big,Primavera_H500,16,2,One-Piece,2,Pedestal,1,Standard,1,Basic_Enclosure,0,Wall-Hung,0,GAS-11liters,poor,double,744446,70
small,FONDITAL_ARDENTE_C2,3,3,One-Piece,1,Wall-Mounted,1,Luxury,1,Luxury_Enclosure,2,Bidet-Mixer-Tap,1,GAS-6liters,poor,single,428692,29
big,Helyos_Evo,0,1,Basic-Ceramic,0,Countertop,2,Luxury,2,Basic_Enclosure,1,Bidet-Ceramic,1,GAS-11liters,poor,single,413348,32
small,COPA_Aluminium,12,1,One-Piece,2,Wall-Mounted,1,Luxury,0,Luxury_Enclosure,1,Bidet-Mixer-Tap,2,Electric-50liters,poor,single,549321,55
small,Helyos_Evo,2,0,Basic-Ceramic,2,Countertop,1,Standard,1,Basic_Enclosure,2,Wall-Hung,1,GAS-11liters,poor,single,346157,25
medium,GLOBAL_ISEO_350,3,1,Wall-Hung,3,Countertop,2,Standard,0,Luxury_Enclosure,2,Bidet-Mixer-Tap,2,GAS-11liters,poor,single,712188,34
small,FONDITAL_ARDENTE_C2,13,0,One-Piece,0,Countertop,0,Standard,1,Luxury_Enclosure,1,Bidet-Mixer-Tap,1,Electric-30liters,high,double,599863,53
big,COPA_Aluminium,1,3,Basic-Ceramic,0,Pedestal,2,Standard,1,Basic_Enclosure,2,Wall-Hung,1,GAS-11liters,poor,double,323443,26
medium,COPA_Aluminium,16,0,One-Piece,1,Countertop,1,Luxury,2,Basic_Enclosure,2,Bidet-Mixer-Tap,1,Electric-50liters,poor,double,736994,62
big,Samochauf_SAHD,6,0,One-Piece,3,Pedestal,1,Standard,0,Basic_Enclosure,1,Bidet-Ceramic,1,Electric-50liters,high,single,303129,31
medium,Primavera_H500,11,1,One-Piece,2,Wall-Mounted,1,Standard,2,Basic_Enclosure,0,Bidet-Ceramic,0,GAS-11liters,high,double,677649,50
big,Primavera_H500,1,2,Basic-Ceramic,0,Countertop,2,Standard,2,Basic_Enclosure,1,Bidet-Ceramic,0,GAS-11liters,poor,single,323556,31
big,Primavera_H500,14,2,Wall-Hung,0,Pedestal,2,Standard,0,Basic_Enclosure,2,Wall-Hung,0,Electric-30liters,high,double,687437,51
big,GLOBAL_ISEO_350,7,2,One-Piece,0,Pedestal,0,Standard,0,Basic_Enclosure,2,Wall-Hung,2,GAS-11liters,poor,double,990217,40
big,GLOBAL_ISEO_350,7,3,Wall-Hung,0,Pedestal,2,Standard,0,Luxury_Enclosure,1,Bidet-Ceramic,1,Electric-50liters,high,single,1014918,44
medium,FONDITAL_ARDENTE_C2,3,1,Wall-Hung,1,Wall-Mounted,1,Standard,0,Basic_Enclosure,0,Bidet-Ceramic,2,GAS-6liters,high,single,278464,24
medium,COPA_Aluminium,11,1,Basic-Ceramic,0,Countertop,1,Luxury,2,Basic_Enclosure,2,Bidet-Mixer-Tap,1,Electric-30liters,poor,single,573516,44
medium,COPA_Aluminium,10,3,Wall-Hung,3,Countertop,1,Standard,1,Basic_Enclosure,0,Bidet-Ceramic,1,GAS-11liters,high,double,560270,52
medium,Helyos_Evo,13,0,Wall-Hung,1,Countertop,1,Luxury,1,Luxury_Enclosure,0,Wall-Hung,1,Electric-30liters,poor,single,649890,60
big,Primavera_H500,13,1,Basic-Ceramic,3,Pedestal,2,Standard,2,Basic_Enclosure,2,Bidet-Mixer-Tap,0,Electric-30liters,poor,double,759801,63
medium,GLOBAL_ISEO_350,8,3,One-Piece,1,Countertop,0,Standard,2,Luxury_Enclosure,2,Bidet-Mixer-Tap,0,Electric-50liters,high,double,1360718,58
big,GLOBAL_ISEO_350,1,1,One-Piece,0,Pedestal,2,Standard,1,Luxury_Enclosure,1,Bidet-Ceramic,2,Electric-30liters,high,double,425830,26
big,Helyos_Evo,10,2,One-Piece,3,Pedestal,0,Standard,0,Luxury_Enclosure,2,Bidet-Mixer-Tap,0,GAS-11liters,poor,double,486576,34
medium,Helyos_Evo,0,3,Wall-Hung,1,Wall-Mounted,0,Luxury,0,Luxury_Enclosure,0,Wall-Hung,1,Electric-30liters,high,double,163847,9
medium,Sira_Alice_Royal,3,0,Basic-Ceramic,1,Countertop,2,Standard,1,Luxury_Enclosure,2,Wall-Hung,0,GAS-6liters,poor,double,429557,32
small,GLOBAL_ISEO_350,4,3,One-Piece,2,Wall-Mounted,2,Standard,0,Luxury_Enclosure,0,Bidet-Ceramic,1,Electric-50liters,poor,double,661280,34
medium,FONDITAL_ARDENTE_C2,1,2,One-Piece,2,Pedestal,1,Luxury,1,Basic_Enclosure,0,Bidet-Ceramic,2,Electric-50liters,poor,single,348493,25
medium,GLOBAL_ISEO_350,9,1,Wall-Hung,3,Pedestal,1,Luxury,2,Luxury_Enclosure,2,Bidet-Mixer-Tap,0,GAS-11liters,high,double,1425433,45
big,Sira_Alice_Royal,14,2,One-Piece,2,Countertop,0,Luxury,1,Luxury_Enclosure,2,Bidet-Mixer-Tap,0,Electric-30liters,poor,single,734018,66
small,Samochauf_SAHD,14,3,Basic-Ceramic,0,Wall-Mounted,2,Standard,1,Luxury_Enclosure,1,Bidet-Mixer-Tap,0,GAS-6liters,high,single,636070,46
big,GLOBAL_ISEO_350,11,1,Basic-Ceramic,2,Wall-Mounted,1,Luxury,0,Luxury_Enclosure,1,Bidet-Mixer-Tap,2,GAS-6liters,poor,single,1371820,51
small,Samochauf_SAHD,6,1,Basic-Ceramic,3,Countertop,1,Luxury,0,Luxury_Enclosure,1,Bidet-Ceramic,1,Electric-50liters,poor,double,478101,34
big,COPA_Aluminium,0,1,One-Piece,1,Countertop,1,Standard,0,Luxury_Enclosure,2,Wall-Hung,2,GAS-6liters,high,single,251087,20
small,Primavera_H500,10,0,Basic-Ceramic,1,Wall-Mounted,0,Luxury,1,Basic_Enclosure,1,Bidet-Mixer-Tap,1,GAS-11liters,poor,single,491593,35
medium,FONDITAL_ARDENTE_C2,15,3,One-Piece,1,Wall-Mounted,1,Luxury,2,Basic_Enclosure,1,Bidet-Ceramic,1,Electric-30liters,poor,double,801389,57
big,Primavera_H500,5,2,Basic-Ceramic,1,Pedestal,0,Luxury,1,Luxury_Enclosure,2,Bidet-Mixer-Tap,2,GAS-6liters,poor,single,474896,34
small,FONDITAL_ARDENTE_C2,9,2,Wall-Hung,3,Wall-Mounted,0,Standard,0,Luxury_Enclosure,0,Wall-Hung,1,Electric-30liters,poor,double,473864,36
medium,GLOBAL_ISEO_350,16,1,One-Piece,1,Countertop,1,Standard,0,Basic_Enclosure,2,Wall-Hung,1,GAS-6liters,poor,double,1947694,52
medium,Samochauf_SAHD,16,2,Basic-Ceramic,2,Pedestal,2,Luxury,2,Luxury_Enclosure,1,Bidet-Ceramic,0,Electric-30liters,high,single,859353,66
big,Samochauf_SAHD,16,3,Wall-Hung,0,Countertop,2,Standard,1,Basic_Enclosure,2,Wall-Hung,0,Electric-30liters,high,double,753255,65
small,FONDITAL_ARDENTE_C2,8,2,Basic-Ceramic,1,Countertop,0,Standard,1,Luxury_Enclosure,0,Wall-Hung,2,Electric-30liters,high,single,498209,39
medium,COPA_Aluminium,13,3,Wall-Hung,1,Countertop,2,Standard,2,Basic_Enclosure,0,Bidet-Ceramic,2,GAS-11liters,poor,single,751694,73
big,Sira_Alice_Royal,3,2,Basic-Ceramic,2,Wall-Mounted,1,Luxury,0,Basic_Enclosure,0,Bidet-Mixer-Tap,2,Electric-30liters,poor,double,285240,24
medium,FONDITAL_ARDENTE_C2,9,1,One-Piece,1,Wall-Mounted,0,Standard,0,Basic_Enclosure,1,Bidet-Ceramic,1,GAS-6liters,poor,single,360344,26
big,Primavera_H500,12,0,One-Piece,1,Countertop,0,Luxury,2,Basic_Enclosure,2,Wall-Hung,1,GAS-11liters,high,double,650832,50
medium,GLOBAL_ISEO_350,11,0,Wall-Hung,2,Wall-Mounted,1,Luxury,1,Basic_Enclosure,0,Wall-Hung,1,GAS-11liters,poor,double,1446857,51
medium,COPA_Aluminium,15,2,Wall-Hung,0,Countertop,1,Standard,1,Basic_Enclosure,0,Wall-Hung,0,GAS-11liters,poor,single,510837,48
small,Samochauf_SAHD,6,3,Basic-Ceramic,2,Countertop,0,Luxury,0,Luxury_Enclosure,2,Bidet-Ceramic,1,Electric-50liters,poor,single,347974,34
big,COPA_Aluminium,0,1,Wall-Hung,0,Pedestal,0,Luxury,0,Luxury_Enclosure,1,Bidet-Mixer-Tap,2,Electric-50liters,poor,single,170518,10
small,FONDITAL_ARDENTE_C2,12,2,Basic-Ceramic,0,Wall-Mounted,0,Luxury,2,Basic_Enclosure,2,Bidet-Ceramic,1,Electric-50liters,high,double,681211,49
big,FONDITAL_ARDENTE_C2,13,1,Basic-Ceramic,3,Wall-Mounted,1,Standard,1,Basic_Enclosure,2,Wall-Hung,1,GAS-6liters,high,single,645057,63
small,GLOBAL_ISEO_350,2,0,Basic-Ceramic,3,Countertop,1,Luxury,1,Luxury_Enclosure,0,Wall-Hung,2,GAS-11liters,poor,single,591540,32
medium,Primavera_H500,4,1,Wall-Hung,2,Countertop,2,Luxury,2,Basic_Enclosure,2,Bidet-Ceramic,1,GAS-11liters,poor,single,636401,48
big,Helyos_Evo,11,1,One-Piece,3,Pedestal,2,Luxury,2,Basic_Enclosure,0,Wall-Hung,2,Electric-30liters,high,double,748694,73
small,COPA_Aluminium,13,3,Basic-Ceramic,0,Wall-Mounted,2,Luxury,2,Luxury_Enclosure,0,Wall-Hung,2,Electric-30liters,poor,double,781196,59
big,COPA_Aluminium,12,3,Wall-Hung,1,Countertop,0,Standard,1,Basic_Enclosure,0,Wall-Hung,2,Electric-50liters,high,single,608846,55
medium,Primavera_H500,1,2,Basic-Ceramic,1,Pedestal,2,Luxury,1,Basic_Enclosure,0,Bidet-Mixer-Tap,1,Electric-50liters,high,single,370429,31
small,COPA_Aluminium,11,3,One-Piece,1,Countertop,1,Standard,0,Luxury_Enclosure,2,Bidet-Mixer-Tap,0,Electric-50liters,poor,single,443796,51
small,Helyos_Evo,9,2,One-Piece,3,Countertop,1,Standard,0,Basic_Enclosure,1,Bidet-Ceramic,1,Electric-50liters,poor,single,516060,39
small,COPA_Aluminium,14,3,Wall-Hung,2,Countertop,0,Standard,1,Luxury_Enclosure,2,Wall-Hung,1,GAS-6liters,high,single,705317,70
small,COPA_Aluminium,3,0,Basic-Ceramic,0,Pedestal,0,Luxury,0,Basic_Enclosure,1,Wall-Hung,1,GAS-11liters,poor,single,157830,20
big,Helyos_Evo,1,1,One-Piece,3,Pedestal,2,Standard,0,Luxury_Enclosure,1,Wall-Hung,2,GAS-11liters,high,double,304599,32
small,Primavera_H500,3,1,Basic-Ceramic,0,Wall-Mounted,2,Standard,0,Basic_Enclosure,2,Wall-Hung,2,Electric-30liters,poor,single,318620,25
small,Samochauf_SAHD,16,3,Basic-Ceramic,3,Wall-Mounted,2,Luxury,0,Luxury_Enclosure,0,Wall-Hung,0,GAS-11liters,poor,double,683761,50
small,Sira_Alice_Royal,13,3,Wall-Hung,2,Pedestal,2,Luxury,0,Basic_Enclosure,0,Bidet-Mixer-Tap,1,Electric-30liters,poor,double,736597,50
big,Primavera_H500,0,3,Wall-Hung,1,Countertop,0,Standard,2,Basic_Enclosure,1,Bidet-Mixer-Tap,0,Electric-50liters,poor,single,283449,24
big,Primavera_H500,7,0,One-Piece,1,Pedestal,1,Luxury,0,Luxury_Enclosure,1,Bidet-Mixer-Tap,1,GAS-11liters,high,single,400185,26
medium,Helyos_Evo,5,0,Wall-Hung,3,Wall-Mounted,1,Luxury,1,Basic_Enclosure,1,Bidet-Mixer-Tap,2,GAS-11liters,poor,double,502838,38
medium,Helyos_Evo,16,2,Basic-Ceramic,2,Wall-Mounted,1,Luxury,1,Luxury_Enclosure,0,Wall-Hung,2,Electric-50liters,poor,single,784833,57
big,Samochauf_SAHD,9,1,Basic-Ceramic,1,Countertop,2,Standard,1,Luxury_Enclosure,0,Bidet-Mixer-Tap,1,Electric-50liters,poor,double,504315,43
small,FONDITAL_ARDENTE_C2,4,1,Basic-Ceramic,0,Wall-Mounted,0,Standard,2,Basic_Enclosure,0,Bidet-Ceramic,1,GAS-6liters,high,double,352406,31
big,COPA_Aluminium,13,2,One-Piece,3,Countertop,2,Luxury,1,Luxury_Enclosure,1,Wall-Hung,2,Electric-30liters,high,single,823426,68
big,COPA_Aluminium,10,2,One-Piece,2,Wall-Mounted,1,Standard,0,Basic_Enclosure,1,Bidet-Mixer-Tap,2,GAS-6liters,poor,single,456431,50
medium,FONDITAL_ARDENTE_C2,7,2,Wall-Hung,1,Countertop,0,Luxury,2,Basic_Enclosure,0,Bidet-Mixer-Tap,1,GAS-6liters,high,double,525944,35
big,COPA_Aluminium,4,2,Wall-Hung,1,Pedestal,1,Standard,0,Luxury_Enclosure,2,Wall-Hung,2,GAS-6liters,poor,single,345119,35
medium,Primavera_H500,9,3,Basic-Ceramic,0,Wall-Mounted,2,Luxury,0,Luxury_Enclosure,0,Wall-Hung,2,GAS-6liters,poor,double,664931,48
small,GLOBAL_ISEO_350,0,0,Basic-Ceramic,0,Pedestal,2,Standard,2,Basic_Enclosure,2,Bidet-Ceramic,2,GAS-6liters,high,double,381917,30
big,Sira_Alice_Royal,16,1,Wall-Hung,0,Pedestal,1,Standard,0,Luxury_Enclosure,0,Bidet-Mixer-Tap,2,GAS-6liters,high,double,655532,65
big,COPA_Aluminium,8,2,Wall-Hung,1,Wall-Mounted,2,Standard,1,Basic_Enclosure,1,Bidet-Ceramic,1,Electric-50liters,high,double,539914,41
medium,Samochauf_SAHD,1,3,One-Piece,1,Countertop,0,Standard,0,Luxury_Enclosure,0,Wall-Hung,1,GAS-11liters,poor,double,197097,19
small,GLOBAL_ISEO_350,7,2,Wall-Hung,1,Pedestal,2,Luxury,2,Basic_Enclosure,1,Bidet-Mixer-Tap,0,Electric-30liters,high,double,1275053,57
small,FONDITAL_ARDENTE_C2,2,1,Basic-Ceramic,0,Countertop,0,Standard,2,Luxury_Enclosure,1,Bidet-Mixer-Tap,1,Electric-30liters,poor,double,385305,27
medium,Primavera_H500,8,1,One-Piece,2,Wall-Mounted,2,Standard,2,Luxury_Enclosure,1,Bidet-Mixer-Tap,0,Electric-30liters,high,single,667457,57
medium,FONDITAL_ARDENTE_C2,12,0,One-Piece,1,Countertop,2,Luxury,0,Basic_Enclosure,2,Bidet-Mixer-Tap,0,GAS-11liters,poor,single,648109,42
big,Samochauf_SAHD,9,2,Wall-Hung,3,Countertop,2,Standard,0,Luxury_Enclosure,1,Bidet-Mixer-Tap,1,Electric-50liters,poor,double,585547,44
small,Helyos_Evo,1,2,Wall-Hung,2,Wall-Mounted,1,Standard,1,Luxury_Enclosure,1,Bidet-Ceramic,2,Electric-50liters,high,single,427954,33
small,COPA_Aluminium,9,1,Basic-Ceramic,0,Wall-Mounted,1,Standard,0,Luxury_Enclosure,2,Bidet-Mixer-Tap,0,GAS-6liters,poor,double,300575,35
medium,Samochauf_SAHD,15,0,One-Piece,1,Wall-Mounted,2,Luxury,1,Luxury_Enclosure,2,Wall-Hung,0,Electric-50liters,poor,single,750944,56
medium,Sira_Alice_Royal,6,0,Basic-Ceramic,0,Pedestal,2,Standard,2,Basic_Enclosure,1,Bidet-Ceramic,2,GAS-11liters,poor,double,612756,51
small,Primavera_H500,9,3,One-Piece,2,Countertop,2,Luxury,2,Basic_Enclosure,2,Wall-Hung,2,Electric-30liters,high,single,874846,76
small,Primavera_H500,11,2,Basic-Ceramic,0,Wall-Mounted,1,Standard,1,Luxury_Enclosure,0,Bidet-Mixer-Tap,0,Electric-30liters,poor,single,561392,49
medium,Helyos_Evo,10,0,Basic-Ceramic,1,Pedestal,2,Standard,2,Luxury_Enclosure,1,Wall-Hung,2,Electric-30liters,poor,single,692892,61
medium,Sira_Alice_Royal,9,3,Basic-Ceramic,2,Wall-Mounted,0,Luxury,1,Luxury_Enclosure,2,Bidet-Mixer-Tap,1,GAS-11liters,poor,single,571917,43
big,Helyos_Evo,8,2,Wall-Hung,3,Countertop,2,Standard,1,Luxury_Enclosure,2,Bidet-Ceramic,2,GAS-11liters,poor,double,751528,61
medium,Primavera_H500,12,3,Wall-Hung,3,Pedestal,1,Luxury,2,Basic_Enclosure,2,Bidet-Ceramic,2,Electric-50liters,high,single,881784,73
small,Helyos_Evo,12,2,Basic-Ceramic,2,Countertop,0,Luxury,1,Basic_Enclosure,1,Wall-Hung,2,GAS-6liters,poor,single,616846,58
small,Sira_Alice_Royal,8,1,Wall-Hung,2,Wall-Mounted,2,Standard,1,Basic_Enclosure,0,Bidet-Ceramic,1,Electric-30liters,poor,double,560855,49
small,Helyos_Evo,12,2,One-Piece,1,Wall-Mounted,0,Luxury,0,Basic_Enclosure,1,Wall-Hung,1,GAS-11liters,high,single,469239,51
medium,Helyos_Evo,12,3,Wall-Hung,1,Countertop,1,Standard,0,Luxury_Enclosure,1,Bidet-Ceramic,0,Electric-50liters,high,single,549278,37
medium,Helyos_Evo,16,3,Wall-Hung,2,Countertop,2,Standard,2,Basic_Enclosure,0,Wall-Hung,2,GAS-11liters,high,double,993266,80
small,GLOBAL_ISEO_350,0,0,One-Piece,1,Wall-Mounted,2,Standard,0,Basic_Enclosure,1,Wall-Hung,1,Electric-50liters,poor,single,174490,16
big,COPA_Aluminium,5,0,Basic-Ceramic,3,Countertop,2,Luxury,0,Luxury_Enclosure,2,Wall-Hung,0,Electric-30liters,poor,single,375362,33
medium,FONDITAL_ARDENTE_C2,15,3,Basic-Ceramic,1,Wall-Mounted,1,Luxury,1,Basic_Enclosure,0,Bidet-Ceramic,0,Electric-30liters,poor,double,640551,62
small,Helyos_Evo,4,1,Wall-Hung,0,Wall-Mounted,1,Luxury,2,Basic_Enclosure,1,Bidet-Mixer-Tap,0,Electric-30liters,high,double,485867,35
small,Sira_Alice_Royal,15,0,One-Piece,3,Countertop,1,Standard,2,Luxury_Enclosure,0,Bidet-Mixer-Tap,1,GAS-6liters,poor,double,934971,77
big,FONDITAL_ARDENTE_C2,5,3,Basic-Ceramic,2,Wall-Mounted,1,Luxury,0,Luxury_Enclosure,2,Bidet-Ceramic,2,Electric-50liters,high,double,484723,39
big,COPA_Aluminium,8,2,Basic-Ceramic,3,Pedestal,1,Luxury,2,Luxury_Enclosure,0,Wall-Hung,0,Electric-30liters,high,single,625780,44
big,COPA_Aluminium,9,0,One-Piece,1,Pedestal,0,Luxury,0,Luxury_Enclosure,1,Wall-Hung,1,Electric-30liters,high,double,285799,37
big,Primavera_H500,4,2,One-Piece,1,Wall-Mounted,2,Standard,2,Luxury_Enclosure,1,Bidet-Ceramic,1,Electric-30liters,poor,double,598198,38
medium,GLOBAL_ISEO_350,5,2,Wall-Hung,3,Pedestal,0,Standard,2,Luxury_Enclosure,2,Bidet-Mixer-Tap,1,Electric-30liters,high,double,1053974,51
small,Sira_Alice_Royal,12,2,One-Piece,3,Wall-Mounted,0,Luxury,2,Luxury_Enclosure,2,Bidet-Mixer-Tap,2,Electric-30liters,high,single,828632,60
small,Sira_Alice_Royal,7,0,Basic-Ceramic,3,Wall-Mounted,2,Standard,0,Basic_Enclosure,1,Bidet-Mixer-Tap,2,GAS-11liters,poor,double,473891,37
big,Sira_Alice_Royal,6,1,One-Piece,3,Pedestal,2,Luxury,0,Luxury_Enclosure,1,Wall-Hung,0,Electric-50liters,high,double,466335,32
big,Primavera_H500,3,1,One-Piece,3,Wall-Mounted,0,Standard,2,Basic_Enclosure,2,Bidet-Mixer-Tap,2,Electric-50liters,high,single,444158,36
medium,Primavera_H500,1,3,Wall-Hung,1,Wall-Mounted,2,Luxury,1,Basic_Enclosure,1,Bidet-Ceramic,1,GAS-6liters,high,double,493078,33
medium,Samochauf_SAHD,16,0,One-Piece,2,Wall-Mounted,0,Luxury,1,Luxury_Enclosure,1,Bidet-Mixer-Tap,0,GAS-11liters,poor,double,520180,42
big,COPA_Aluminium,13,2,One-Piece,0,Countertop,2,Standard,0,Basic_Enclosure,0,Wall-Hung,1,GAS-11liters,poor,double,504111,58
small,Helyos_Evo,0,2,Wall-Hung,2,Pedestal,2,Luxury,2,Luxury_Enclosure,2,Bidet-Ceramic,1,GAS-11liters,poor,single,575942,44
small,Primavera_H500,10,2,One-Piece,3,Pedestal,0,Standard,0,Basic_Enclosure,1,Bidet-Ceramic,2,GAS-6liters,poor,single,505042,47
big,Sira_Alice_Royal,5,0,One-Piece,3,Pedestal,1,Standard,0,Basic_Enclosure,2,Wall-Hung,1,Electric-30liters,high,single,297544,28
medium,Helyos_Evo,6,1,One-Piece,1,Wall-Mounted,2,Luxury,0,Luxury_Enclosure,1,Wall-Hung,1,Electric-30liters,high,single,392856,36
small,COPA_Aluminium,9,1,One-Piece,1,Pedestal,1,Luxury,1,Luxury_Enclosure,0,Bidet-Mixer-Tap,1,GAS-6liters,poor,single,480486,36
small,COPA_Aluminium,16,0,Basic-Ceramic,2,Pedestal,2,Luxury,2,Basic_Enclosure,0,Bidet-Mixer-Tap,1,Electric-30liters,high,single,745417,78
medium,FONDITAL_ARDENTE_C2,4,1,One-Piece,1,Pedestal,2,Standard,1,Basic_Enclosure,0,Wall-Hung,1,Electric-50liters,poor,double,369556,37
small,COPA_Aluminium,13,1,One-Piece,2,Pedestal,1,Standard,1,Basic_Enclosure,0,Bidet-Mixer-Tap,2,Electric-30liters,high,double,506708,62
medium,FONDITAL_ARDENTE_C2,7,2,Basic-Ceramic,1,Pedestal,2,Standard,2,Luxury_Enclosure,2,Bidet-Mixer-Tap,1,GAS-11liters,high,single,681967,58
big,Primavera_H500,2,3,Wall-Hung,0,Wall-Mounted,2,Standard,1,Basic_Enclosure,1,Wall-Hung,1,GAS-6liters,high,single,424492,32
big,FONDITAL_ARDENTE_C2,1,2,Basic-Ceramic,3,Pedestal,0,Luxury,1,Basic_Enclosure,2,Bidet-Ceramic,2,Electric-50liters,poor,double,319039,32
big,GLOBAL_ISEO_350,7,2,Basic-Ceramic,0,Countertop,0,Standard,0,Luxury_Enclosure,0,Bidet-Ceramic,1,Electric-30liters,poor,double,815783,18
medium,Sira_Alice_Royal,9,1,One-Piece,2,Wall-Mounted,0,Luxury,2,Luxury_Enclosure,2,Wall-Hung,1,GAS-6liters,poor,single,692786,59
small,GLOBAL_ISEO_350,10,2,Wall-Hung,1,Pedestal,1,Luxury,0,Basic_Enclosure,0,Bidet-Ceramic,0,Electric-50liters,poor,double,1227456,42
big,Helyos_Evo,7,3,One-Piece,0,Wall-Mounted,2,Luxury,0,Luxury_Enclosure,2,Bidet-Mixer-Tap,1,Electric-50liters,poor,single,529415,38
big,Samochauf_SAHD,8,1,Basic-Ceramic,3,Countertop,1,Standard,2,Luxury_Enclosure,2,Wall-Hung,2,GAS-11liters,high,single,756776,52
medium,Samochauf_SAHD,8,3,Wall-Hung,1,Wall-Mounted,0,Luxury,0,Basic_Enclosure,2,Wall-Hung,2,GAS-11liters,high,double,490760,38
small,COPA_Aluminium,12,2,One-Piece,3,Pedestal,2,Standard,0,Luxury_Enclosure,0,Wall-Hung,1,Electric-30liters,poor,double,489308,59
big,COPA_Aluminium,4,3,One-Piece,2,Wall-Mounted,0,Luxury,2,Luxury_Enclosure,2,Bidet-Mixer-Tap,2,Electric-30liters,high,single,601739,47
big,GLOBAL_ISEO_350,13,3,Wall-Hung,3,Countertop,0,Standard,2,Basic_Enclosure,2,Wall-Hung,2,GAS-11liters,poor,double,1956532,77
small,Helyos_Evo,2,1,Basic-Ceramic,2,Pedestal,1,Luxury,2,Luxury_Enclosure,1,Bidet-Ceramic,1,Electric-50liters,high,double,453054,33
medium,FONDITAL_ARDENTE_C2,14,2,Basic-Ceramic,2,Pedestal,1,Standard,2,Basic_Enclosure,0,Wall-Hung,0,GAS-11liters,poor,single,599080,47
small,Sira_Alice_Royal,3,1,Basic-Ceramic,1,Wall-Mounted,2,Standard,0,Basic_Enclosure,0,Bidet-Mixer-Tap,2,Electric-50liters,poor,double,307831,27
big,Primavera_H500,7,0,Basic-Ceramic,1,Wall-Mounted,0,Standard,2,Basic_Enclosure,2,Bidet-Ceramic,2,GAS-11liters,poor,single,554744,40
big,FONDITAL_ARDENTE_C2,15,0,One-Piece,1,Wall-Mounted,1,Luxury,2,Luxury_Enclosure,1,Bidet-Ceramic,2,GAS-11liters,poor,double,993879,62
medium,Samochauf_SAHD,15,3,Wall-Hung,3,Countertop,0,Luxury,2,Luxury_Enclosure,1,Wall-Hung,0,Electric-50liters,high,double,848724,69
medium,Primavera_H500,7,2,Basic-Ceramic,3,Wall-Mounted,1,Luxury,1,Luxury_Enclosure,2,Wall-Hung,1,GAS-6liters,high,double,603909,44
small,Samochauf_SAHD,12,1,Wall-Hung,2,Wall-Mounted,2,Standard,1,Basic_Enclosure,2,Wall-Hung,2,GAS-6liters,high,single,632436,67
medium,Helyos_Evo,14,0,Basic-Ceramic,1,Wall-Mounted,1,Luxury,1,Luxury_Enclosure,1,Bidet-Mixer-Tap,1,Electric-50liters,poor,double,695510,50
small,Samochauf_SAHD,11,2,Basic-Ceramic,2,Pedestal,1,Luxury,1,Basic_Enclosure,2,Bidet-Ceramic,2,GAS-11liters,poor,single,603577,63
big,Helyos_Evo,8,2,One-Piece,0,Countertop,1,Luxury,1,Luxury_Enclosure,0,Bidet-Ceramic,2,GAS-6liters,poor,single,584183,45
